index,page_name,page_url,project_url,mhtml_name
32,集成Windows Hello指纹、DIAL、HUB的桌面工具,https://oshwhub.com/pomin/integrated-desktop-tool-windowsh,https://pro.lceda.cn/editor#id=ff34151097f4478694ccd06e963b33a5,集成Windows_Hello指纹、DIAL、HUB的桌面工具
33,具有独立稳压电源的USB3.2拓展盒,https://oshwhub.com/leo_lin/usb3-dock-with-dc-dc-converter,https://pro.lceda.cn/editor#id=8fce9ebd515d487e8062a3baef0a6452,具有独立稳压电源的USB3.2拓展盒
34,小北极の冰冰杯（夏）,https://oshwhub.com/18511895537/summer-ice-cellar,https://pro.lceda.cn/editor#id=2a1037fa6e074333920b5f1921caefc8,小北极の冰冰杯（夏）
35,会议用电子胸牌设计,https://oshwhub.com/dbhua/design-of-electronic-badges-for-meetings,https://pro.lceda.cn/editor#id=e9787ca92f4f44e1a97486b9658219ff,会议用电子胸牌设计
36,基于STC32G12K128的核心开发板,https://oshwhub.com/l64481000/stc32g12k128-based-core-developm,https://pro.lceda.cn/editor#id=1443d07233c94fc18d0f9854a32a519f,基于STC32G12K128的核心开发板
37,【训练营官方案例】USB电流表,https://oshwhub.com/limengmeng12345/ji-chu-ying-usb-dian-ya-biao,https://pro.lceda.cn/editor#id=43d5423e75164c9ca7365947b4a11016,_训练营官方案例_USB电流表
38,立创·地文星CW32F030C8T6开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-di-wen-xing-cw32f030c8t6-kai-fa-ban,https://pro.lceda.cn/editor#id=6b1bba015e8c4feaaf119210f615b4c2,立创·地文星CW32F030C8T6开发板
39,时间管理大师の魔方(Ⅰ),https://oshwhub.com/18511895537/time-management-master-and-rubik,https://pro.lceda.cn/editor#id=6c14182299fd414cbc8778dcb9412827,时间管理大师の魔方(Ⅰ)
40,mmdvm_hs_dual_hat双工板,https://oshwhub.com/ytm899/mmdvm_hs_dual_hat,https://pro.lceda.cn/editor#id=78e55384c0af44c5928607e8579d215c,mmdvm_hs_dual_hat双工板
41,便携式半导体冰箱 PCR01,https://oshwhub.com/abs0/pian-xie-shi-ban-dao-ti-bing-xia,https://pro.lceda.cn/editor#id=6ebd8f68b4194b588e2ef7fdb7ead176,便携式半导体冰箱_PCR01
42,基于CH334H与AT32F403A的电流检测USB HUB,https://oshwhub.com/fanhuacloud/ch334h_dev,https://pro.lceda.cn/editor#id=b80d574908d04f438b9cb7626e7ee504,基于CH334H与AT32F403A的电流检测USB_HUB
43,立创·地猛星MSPM0G3507开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-di-meng-xing-mspm0g3507-kai-fa-ban,https://pro.lceda.cn/editor#id=163d9024e99841648c1fbf1e87ef3ac8,立创·地猛星MSPM0G3507开发板
44,智能手表OV-Watch,https://oshwhub.com/no_chicken/zhi-neng-shou-biao-OV-Watch_V2.2,https://pro.lceda.cn/editor#id=da55d50b394b4553bbcb799dc27a7e63,智能手表OV_Watch
45,立创DAPLINK调试工具,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-daplink-diao-shi-gong-ju,https://pro.lceda.cn/editor#id=1f988b9e4d1c428cbd79f2b0e9e01e91,立创DAPLINK调试工具
46,【很新但很旧】如何用最古老的技术造一台现代手机？,https://oshwhub.com/honglin/First_CRT_SmartPhone,https://pro.lceda.cn/editor#id=e4cb491dde1547b59ee2b449e70de2dd,_很新但很旧_如何用最古老的技术造一台现代手机？
47,【核辐射能谱仪/γ射线能谱仪】数字多道脉冲幅度分析器,https://oshwhub.com/steve-don/digital_multichannel_analyzer,https://pro.lceda.cn/editor#id=ac991e39f8e641b491aaf701a7c26c40,_核辐射能谱仪_γ射线能谱仪_数字多道脉冲幅度分析器
48,微型滚轮电子尺,https://oshwhub.com/yean/miniature-roller-electronic-ruler,https://pro.lceda.cn/editor#id=6af4e03fc80345f59688746fef76ee87,微型滚轮电子尺
49,并联臂四足机器狗,https://oshwhub.com/cdm0302/parallel-arm-quadruped-robot-dog,https://pro.lceda.cn/editor#id=15042c93e80241ffb48765f609beba15,并联臂四足机器狗
50,立创·地阔星STM32F103C8T6开发板,https://oshwhub.com/li-chuang-kai-fa-ban/lichuang-gekuo-star-stm32f103c8t6-development-board,https://pro.lceda.cn/editor#id=192ba5bfbbde4fcd89f5ed5f009fe69a,立创·地阔星STM32F103C8T6开发板
51,年轻人的第一台BB机~,https://oshwhub.com/eedadada/phalange,https://pro.lceda.cn/editor#id=707ae2aebcd843008bc8a96940a52a10,年轻人的第一台BB机~
52,【立创·泰山派】智能投影机-Sony CXN0102,https://oshwhub.com/fengmoxi/taspi-smart-projector,https://pro.lceda.cn/editor#id=c2f62592fd9b4c1aab8bba3983572306,_立创·泰山派_智能投影机_Sony_CXN0102
53,8路模拟量采集器2,https://oshwhub.com/18172685113/8-way-analog-quantity-collector-2,https://pro.lceda.cn/editor#id=3446f7e82b6c46f48d9ffddf4d0a1511,8路模拟量采集器2
54,【立创·地正星MSPM0L1306】开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-di-zheng-xing-mspm0l1306-kai-fa-ban,https://pro.lceda.cn/editor#id=7bcc6752f2154385b8958ca867f59d2c,_立创·地正星MSPM0L1306_开发板
55,泰山派NAS服务器,https://oshwhub.com/yc_chen/taishan-nas-server,https://pro.lceda.cn/editor#id=f22d15cbab374415a62b3b5d765d0a6d,泰山派NAS服务器
56,Da Vinci 3D打印机耗材更改模块,https://oshwhub.com/s-c-o-r-p-i-o-n/da-vinci-3d-da-yin-ji-hao-cai-geng-gai-mo-kuai-xkb,https://pro.lceda.cn/editor#id=0fe22f92e6f8468fa5c81b26030f3aeb,Da_Vinci_3D打印机耗材更改模块
57,立创·ColorEasyDuino开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-coloreasyduino-kai-fa-ban,https://pro.lceda.cn/editor#id=94d965b300e74f33a68a9ab21939ae00,立创·ColorEasyDuino开发板
58,ESP32墨水屏MP3收音机阅读器,https://oshwhub.com/jie326513988/ESP32mi-ni-mo-shui-ping-MP3shou-,https://pro.lceda.cn/editor#id=81e13f4b2c8942dca536bfe23e2bf1dc,ESP32墨水屏MP3收音机阅读器
59,【FL PC】泰山派迷你主机,https://oshwhub.com/flyn/flpc,https://pro.lceda.cn/editor#id=71e1d99d567b413283df8b432a9957c7,_FL_PC_泰山派迷你主机
60,成图大赛样题参考,https://oshwhub.com/course-examples/cheng-tu-da-sai-yang-ti-can-kao,https://pro.lceda.cn/editor#id=eb467c72ecb34b6fae3c335c8ac3961a,成图大赛样题参考
61,柔性灯丝氛围灯,https://oshwhub.com/yaochi/flexible-filament-atmosphere-lamp,https://pro.lceda.cn/editor#id=ede4868e553d4574beb5dda4dd76902b,柔性灯丝氛围灯
62,1.54寸多功能墨水屏,https://oshwhub.com/jie326513988/mo-shui-ping-1-54v1-1,https://pro.lceda.cn/editor#id=ee6cd8fde8bf43eb8b56a72da39b512e,1.54寸多功能墨水屏
63,UC3842 flyback开关电源设计,https://oshwhub.com/kratosxs/kai-guan-dian-yuan-she-ji-zhuan-ye-ban,https://pro.lceda.cn/editor#id=2be2ff43cb574468afcf4a8880918dc7,UC3842_flyback开关电源设计
64,开关电源实验,https://oshwhub.com/kratosxs/tax-dian-yuan,https://pro.lceda.cn/editor#id=6bc343c81ad64fa1825181bb90958a8a,开关电源实验
65,反激变压器绕制专用工程,https://oshwhub.com/kratosxs/fan-ji-bian-ya-qi,https://pro.lceda.cn/editor#id=f2d96b375545446ba4ffe211f18a085b,反激变压器绕制专用工程
66,【星火2】乞光板+驱动器,https://oshwhub.com/yangzen/xing-huo-2-qi-guang-ban-qu-dong-,https://pro.lceda.cn/editor#id=59943e6a1091460db86fe4fe9cf1f032,_星火2_乞光板+驱动器
67,"入门级八通道航模套件,基于国产乐鑫ESP32/8266芯片",https://oshwhub.com/8bitgame/gu-ding-yi-fei-xing-qi-dong-li-b,https://pro.lceda.cn/editor#id=c8f0b766b06142d3adfecc5164f9483c,"入门级八通道航模套件,基于国产乐鑫ESP32_8266芯片"
68,Super Dial 电机旋钮屏—esp32s3—v2,https://oshwhub.com/45coll/a2fff3c71f5d4de2b899c64b152d3da5,https://pro.lceda.cn/editor#id=7f7565ef11504863938c0de79622dd54,Super_Dial_电机旋钮屏—esp32s3—v2
69,神之眼S3“Pro”版,https://oshwhub.com/planevina/shen-zhi-yan-xiao-zha-zha-v1-2_esp32ucopy,https://pro.lceda.cn/editor#id=0331cb2f845042d28fa8e8ef545a9793,神之眼S3“Pro”版
70,【全网首发】雷电4笔记本电脑显卡坞,https://oshwhub.com/leo_lin/jhl7440-based-lightning-3-graphics-dock,https://pro.lceda.cn/editor#id=82f5467934f142be98c64051d72b7004,_全网首发_雷电4笔记本电脑显卡坞
71,【胖妞手机】泰山派RK3566开发板,https://oshwhub.com/li-chuang-kai-fa-ban/tai-shan-pai-pang-niu-shou-ji-kuo-zhan-ban,https://pro.lceda.cn/editor#id=a50871e84a554d229aaf761cffeb3697,_胖妞手机_泰山派RK3566开发板
72,220V/380V双电压输入可调电源输出DC 5-24V,https://oshwhub.com/leichaolin/220v380v-dual-voltage-input-adjustable-power-supply,https://pro.lceda.cn/editor#id=994e9e28d51b44cb999647d8c651a90a,220V_380V双电压输入可调电源输出DC_5_24V
73,LED大灯泡,https://oshwhub.com/qxqpcb/fu-ke-you-hu-OneShot-Nikode-deng,https://pro.lceda.cn/editor#id=41db0dab92e14a0e863f9a8a780a21b6,LED大灯泡
74,简易数字示波器设计（入门版）,https://oshwhub.com/course-examples/yi-qi-yi-biao-jian-yi-shu-zi-shi-bo-qi-she-ji-cha-jian-ban,https://pro.lceda.cn/editor#id=5e03b6545745463bb8b64813209ffb8c,简易数字示波器设计（入门版）
75,低成本迷你放电负载,https://oshwhub.com/heyh/mini-discharge-load,https://pro.lceda.cn/editor#id=c33c760133444b1b9c7af087f4b559cf,低成本迷你放电负载
76,[iKun请进] 蒸汽朋克小键盘-基于at32f413,https://oshwhub.com/jinjunan/afpad-at,https://pro.lceda.cn/editor#id=724458b9cc224045b6f18e5192a352ba,[iKun请进]_蒸汽朋克小键盘_基于at32f413
77,万能卡片OV-Card,https://oshwhub.com/no_chicken/mo-neng-ka-pian-OV-Card,https://pro.lceda.cn/editor#id=5eb926716dce4e8a896034c88f824180,万能卡片OV_Card
78,征集令 |智能全彩时钟,https://oshwhub.com/90i0/quan-cai-shi-zhong,https://pro.lceda.cn/editor#id=ac67228bed2a4917a9db75c746834a6a,征集令__智能全彩时钟
79,立创·实战派ESP32-C3开发板,https://oshwhub.com/li-chuang-kai-fa-ban/xd-esp32c3-aiot-v1_3_2,https://pro.lceda.cn/editor#id=d845050d4c354e00aac6a3aacddee247,立创·实战派ESP32_C3开发板
80,迷你数控电源-FL Power,https://oshwhub.com/flyn/flpower,https://pro.lceda.cn/editor#id=35f1ad8dcc4e48d586e91f7e900ebd59,迷你数控电源_FL_Power
81,SpotWelder 点焊机,https://oshwhub.com/climbsnail/spotwelder,https://pro.lceda.cn/editor#id=45c7d2f7a761424b8c53c79ec2fb8f69,SpotWelder_点焊机
82,【全网首发】ZYNQ7035核心板及高速ADC,https://oshwhub.com/z_star/zynq7035-core-board-and-high-speed-adc,https://pro.lceda.cn/editor#id=3a61be0cc8324f3db1bcb5a6674d165d,_全网首发_ZYNQ7035核心板及高速ADC
83,真 · zigbee门磁,https://oshwhub.com/myjuly/ji-yucc2530-dizigbee3-0-men-ci,https://pro.lceda.cn/editor#id=11fa04cdc9234939834b8ff781f675d0,真_·_zigbee门磁
84,caven-3.14,https://oshwhub.com/SWP_MCU/aeefd84f983743a1af339ab6bbbd6a80,https://pro.lceda.cn/editor#id=c74409cf0db64e179e8eee7457e84763,caven_3.14
85,【RA】农田环境数据无线采集灌溉自律系统（基于瑞萨MCU）,https://oshwhub.com/aknice/nong-tian-shu-ju-wu-xian-cai-ji-zi-lv-xi-tong-ji-yu-rui-sa-mcu,https://pro.lceda.cn/editor#id=284af153477e46888bb935d52c33a804,_RA_农田环境数据无线采集灌溉自律系统（基于瑞萨MCU）
86,Raspberry Pi OCR,https://oshwhub.com/yifan0131/RaspberryPiOCR,https://pro.lceda.cn/editor#id=a21b13807a2b4d1ebe8bd918148dbdcb,Raspberry_Pi_OCR
87,立创·ESP32S3R8N8开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-esp32s3r8n8-kai-fa-ban,https://pro.lceda.cn/editor#id=cb10375b0d69471d84e3fddf1a950a81,立创·ESP32S3R8N8开发板
88,物联型多协议电源,https://oshwhub.com/18511895537/dian-zi-luo-pan-di-ci-yi,https://pro.lceda.cn/editor#id=d90422435e7d4423a771e1e23428f0a8,物联型多协议电源
89,SY8368QNC大功率电源板,https://oshwhub.com/monologuechi/sy8368qnc-da-gong-lv-ce-shi,https://pro.lceda.cn/editor#id=31a9a46976d849b7819c4b90df950c49,SY8368QNC大功率电源板
90,ElectronBot语音版,https://oshwhub.com/taosi/ElectronBotyu-yin-ban,https://pro.lceda.cn/editor#id=e8685e9713424e1d8753d58922db9dd4,ElectronBot语音版
91,离线语音机器人,https://oshwhub.com/northerntree/new-project,https://pro.lceda.cn/editor#id=184c3c43fcdc4315ab8a40c55f44bd7f,离线语音机器人
92,开源AR眼镜2,https://oshwhub.com/wwwwyt/kai-yuan-ARyan-jing-2,https://pro.lceda.cn/editor#id=1aab712827044e34b2b83f7c4391e694,开源AR眼镜2
93,ZYNQ7020核心板及各种射频模块,https://oshwhub.com/z_star/zynq7020-core-board-and-various-rf-modules,https://pro.lceda.cn/editor#id=2f01fdb9fbaf499f8b537081ce3e4a66,ZYNQ7020核心板及各种射频模块
94,立创梁山派·天空星开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-liang-shan-pai-tian-kong-xing-kai-fa-ban,https://pro.lceda.cn/editor#id=1949206d8e694271bd8ab6f068e260c2,立创梁山派·天空星开发板
95,激光雕刻机,https://oshwhub.com/ljb110/laser-engraving-machine,https://pro.lceda.cn/editor#id=b90dbd56d48e477c988195f9a5285532,激光雕刻机
96,立创·梁山派-示波器扩展板,https://oshwhub.com/tangchengming/li-chuang-liang-shan-pai-shi-bo-qi-kuo-zhan-ban,https://pro.lceda.cn/editor#id=e0f682da171e4e92a08be36ee8d5c7bb,立创·梁山派_示波器扩展板
97,智能电脑鼠高级迷宫小车,https://oshwhub.com/dnoo2/zhi-neng-dian-nao-shu-gao-ji-mi-,https://pro.lceda.cn/editor#id=2ddb01c25607495b951ffdd04fe7d176,智能电脑鼠高级迷宫小车
98,泰山派MIPI DSI 转 RGB 适配器,https://oshwhub.com/okll/tspi-mipidsi-to-rgb-adapter,https://pro.lceda.cn/editor#id=5d589d93d349497caa223a26eb924708,泰山派MIPI_DSI_转_RGB_适配器
99,51单片机DIY开发板（97%直插件）,https://oshwhub.com/xiezhaoyan/51-dan-pian-ji-diy-kai-fa-ban-97-zhi-cha-jian,https://pro.lceda.cn/editor#id=c5a7e470ff1f418ba0d9b143cab726b9,51单片机DIY开发板（97%直插件）
100,5.1无线环绕K歌音响SoundBar,https://oshwhub.com/aknice/5.1wu-xian-huan-rao-yin-xiang,https://pro.lceda.cn/editor#id=f3f9d08973fe4d52abd1cfa68fed4cc2,5.1无线环绕K歌音响SoundBar
101,YuToo墨水屏时钟,https://oshwhub.com/gnosis/4c3ff2faabb04861b6b0c41d1a7df3da,https://pro.lceda.cn/editor#id=e22ef8688bb746948b318d984c3fb358,YuToo墨水屏时钟
102,立创·GD32E230最小系统板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-gd32e230-zui-xiao-xi-tong-ban,https://pro.lceda.cn/editor#id=fd75a0f465004999a367f07f4b5bd740,立创·GD32E230最小系统板
103,ESP32S3 86盒开发板 带触摸,https://oshwhub.com/myzhazha/esp32s3_86-kai-fa-ban,https://pro.lceda.cn/editor#id=53e6c236b9d14e74944e460ac11c7c1d,ESP32S3_86盒开发板_带触摸
104,桌面快捷控制中心,https://oshwhub.com/gugugu625/zhuo-mian-kuai-jie-kong-zhi-zhon,https://pro.lceda.cn/editor#id=200f41b6ad2945679c992b96d30fdb1f,桌面快捷控制中心
105,4.2寸蓝牙电子相册&amp;日历,https://oshwhub.com/sakading/4-2-cun-lan-ya-dian-zi-xiang-ce,https://pro.lceda.cn/editor#id=2628ab7b330f4cc48ed6fcef84a41e67,4.2寸蓝牙电子相册&amp;日历
106,260W多口快充桌面电源,https://oshwhub.com/tnanastar/duo-kou-kuai-chong-zhuo-mian-dian-yuan-65w-65w-65w-65w,https://pro.lceda.cn/editor#id=52030ce925bb4be7b0448d989e0998d8,260W多口快充桌面电源
107,征集令 |基于IoT的智能宠物喂食器,https://oshwhub.com/yuhuang01/ji-yuiot-di-zhi-neng-chong-wu-wei-si-qi,https://pro.lceda.cn/editor#id=8572a70fa5194b2f9ae8b5ba5c255b76,征集令__基于IoT的智能宠物喂食器
108,HDMI 3进1出切换器 AG7111芯片验证板,https://oshwhub.com/Aknice/1dfda80b41104751846aecc99dd9e055,https://pro.lceda.cn/editor#id=d740c690ad3b480d82c92110dae5f978,HDMI_3进1出切换器_AG7111芯片验证板
109,HDMI 5进1出 切换器 双AG7111+ESP32,https://oshwhub.com/Aknice/83d25e9c5f9240499dfcd01eeaa45b82,https://pro.lceda.cn/editor#id=466aff1a029444ebbc72cbf03d37a52a,HDMI_5进1出_切换器_双AG7111+ESP32
110,电动锡膏挤出器,https://oshwhub.com/littleoandlittleq/xi-gao-ji-chu-ji,https://pro.lceda.cn/editor#id=6ba9490ab6ab4053b4794920ded19b72,电动锡膏挤出器
111,全志H6开发板-从零入门ARM高速电路设计,https://oshwhub.com/logicworld/h6_board,https://pro.lceda.cn/editor#id=72312817efb6449ca520216c820c432c,全志H6开发板_从零入门ARM高速电路设计
112,RP2040六轴3D打印机控制板,https://oshwhub.com/mlm520/RP2040-liuzhou,https://pro.lceda.cn/editor#id=e96f51f899084c3b9b0bcb399b7a80c2,RP2040六轴3D打印机控制板
113,低成本 MOSS 触摸灯 流浪地球2,https://oshwhub.com/alhn/di-cheng-ben-MOSS-chu-mo-deng-li,https://pro.lceda.cn/editor#id=a43c636c45ff446cad71e78ef85493e5,低成本_MOSS_触摸灯_流浪地球2
114,基于全志A133的一款平板,https://oshwhub.com/flyn/flPad,https://pro.lceda.cn/editor#id=e30c34e429f44449a88e353893f96027,基于全志A133的一款平板
115,MiniPhone,https://oshwhub.com/flyn/MiniPhone,https://pro.lceda.cn/editor#id=b117b06fa0474595ae1af53db2f8a996,MiniPhone
116,基于CW32的MP3播放器,https://oshwhub.com/leichaolin/ji-yu-CW32de-MP3bo-fang-qi,https://pro.lceda.cn/editor#id=b24fac45893748688b83b8f06f4a2b95,基于CW32的MP3播放器
117,多功能宏键盘 3Plus,https://oshwhub.com/kakaka/3Plus,https://pro.lceda.cn/editor#id=c461761e59654b8e8541df73b044c67b,多功能宏键盘_3Plus
118,Q302桌面多媒体HiFi主机+充电站,https://oshwhub.com/qzc13457/Q302zhuo-mian-duo-mei-ti-HiFizhu,https://pro.lceda.cn/editor#id=f25720c675724c9680342d124cfbf6e9,Q302桌面多媒体HiFi主机+充电站
119,多功能无线下载器,https://oshwhub.com/q837877663/duo-gong-neng-wu-xian-xia-zai-qi,https://pro.lceda.cn/editor#id=3aa2b09fd5e64f66b956112a711f6456,多功能无线下载器
120,无线开机键,https://oshwhub.com/morempty/ju-zhou-wu-xian-kai-ji-jian,https://pro.lceda.cn/editor#id=8c160695b20e49a9830c1e98ce679ae3,无线开机键
121,征集令 |3D打印机外设,https://oshwhub.com/lin_xiaoyan/3d-da-yin-ji-wai-she,https://pro.lceda.cn/editor#id=789862cfa02b4a73bfde52d025804504,征集令__3D打印机外设
122,陶瓷灯丝时钟1.0,https://oshwhub.com/spadesa/tao-ci-deng-si-shi-zhong-2,https://pro.lceda.cn/editor#id=129dbb17c0704eb1b47c4a221f2568a6,陶瓷灯丝时钟1.0
123,萤辉——多功能露营氛围灯,https://oshwhub.com/heyh/ye-ying-nuan-hui,https://pro.lceda.cn/editor#id=25a79c7ebcb844f9bcfa8ea029dda149,萤辉——多功能露营氛围灯
124,基于ESP32-C3+KT0803L+RDA5807M的调频立体声收发信机,https://oshwhub.com/offical-hang/ESP32-C3-KT0803L,https://pro.lceda.cn/editor#id=9bed973417ec4a8ea6b493ddf45ff27b,基于ESP32_C3+KT0803L+RDA5807M的调频立体声收发信机
125,迷你无线测距tof 基于EPS32-PICO-D4,https://oshwhub.com/kjpig/wirelessds,https://pro.lceda.cn/editor#id=3c06a9d5783443c58f3429c3c1120d24,迷你无线测距tof_基于EPS32_PICO_D4
126,神之眼Plus,https://oshwhub.com/myzhazha/shen-zhi-yan-plus,https://pro.lceda.cn/editor#id=9ebff59c6cd74fd58f7f6cceded861c1,神之眼Plus
